Время	T1	T2	T3	T4
2019-12-09T22:33:07	-100	-100	-100	-100
2019-12-09T22:33:17	-100	-100	-100	-100
2019-12-09T22:33:27	-100	-100	-100	-100
2019-12-09T22:33:38	-100	-100	-100	-100
2019-12-09T22:33:48	-100	-100	-100	-100
2019-12-09T22:33:58	-100	-100	-100	-100
2019-12-09T22:34:08	-100	-100	-100	-100
2019-12-09T22:34:18	-100	-100	-100	-100
2019-12-09T22:34:28	-100	-100	-100	-100
2019-12-09T22:34:38	-100	-100	-100	-100
2019-12-09T22:34:48	-100	-100	-100	-100
2019-12-09T22:34:58	-100	-100	-100	-100
2019-12-09T22:35:08	-100	-100	-100	-100
2019-12-09T22:35:18	-100	-100	-100	-100
2019-12-09T22:35:28	-100	-100	-100	-100
2019-12-09T22:35:38	-100	-100	-100	-100
2019-12-09T22:35:48	-100	-100	-100	-100
2019-12-09T22:35:58	-100	-100	-100	-100
2019-12-09T22:36:08	-100	-100	-100	-100
2019-12-09T22:36:18	-100	-100	-100	-100
2019-12-09T22:36:28	-100	-100	-100	-100
2019-12-09T22:36:38	-100	-100	-100	-100
2019-12-09T22:36:48	-100	-100	-100	-100
2019-12-09T22:36:58	-100	-100	-100	-100
2019-12-09T22:37:08	-100	-100	-100	-100
2019-12-09T22:37:18	-100	-100	-100	-100
2019-12-09T22:37:28	-100	-100	-100	-100
2019-12-09T22:37:38	-100	-100	-100	-100
2019-12-09T22:37:48	-100	-100	-100	-100
2019-12-09T22:37:58	-100	-100	-100	-100
2019-12-09T22:38:08	-100	-100	-100	-100
2019-12-09T22:38:18	-100	-100	-100	-100
2019-12-09T22:38:28	-100	-100	-100	-100
2019-12-09T22:38:38	-100	-100	-100	-100
2019-12-09T22:38:48	-100	-100	-100	-100
2019-12-09T22:38:58	-100	-100	-100	-100
2019-12-09T22:39:08	-100	-100	-100	-100
2019-12-09T22:39:18	-100	-100	-100	-100
2019-12-09T22:39:28	-100	-100	-100	-100
2019-12-09T22:39:38	-100	-100	-100	-100
2019-12-09T22:39:48	-100	-100	-100	-100
2019-12-09T22:39:58	-100	-100	-100	-100
2019-12-09T22:40:08	-100	-100	-100	-100
2019-12-09T22:40:18	-100	-100	-100	-100
2019-12-09T22:40:28	-100	-100	-100	-100
2019-12-09T22:40:38	-100	-100	-100	-100
2019-12-09T22:40:48	-100	-100	-100	-100
2019-12-09T22:40:58	-100	-100	-100	-100
